City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Roura,GF,85.91,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
610,Tual,ID,80.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
613,Koratla,IN,75.29,overcast clouds,18.8167,78.7167,Srinivasa Lodge
615,Westport,US,83.01,overcast clouds,41.1415,-73.3579,The Westport Inn
618,Daru,PG,77.29,overcast clouds,-9.0763,143.2092,Daru Lodge
619,Buala,SB,79.84,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
622,Iralaya,HN,80.69,overcast clouds,15.0,-83.2333,Iglesia morava renovada
624,Hyeres,FR,81.25,clear sky,43.1167,6.1167,Hôtel des Palmiers
626,Riberalta,BO,79.0,few clouds,-10.9833,-66.1,Hotel Colonial
627,Jertih,MY,78.67,overcast clouds,5.7336,102.4897,One Utama Hotel
630,Mahdalynivka,UA,75.76,scattered clouds,48.921,34.9156,"Кафе-Готель ""Колыба"""
631,Dutse,NG,77.25,few clouds,11.7594,9.3392,Central Mosque Galamawa
633,Black River,JM,86.0,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
634,Platteville,US,85.59,broken clouds,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
636,Karur,IN,78.66,overcast clouds,10.95,78.0833,Hotel Valluvar
637,Goose Creek,US,86.99,overcast clouds,32.981,-80.0326,"Holiday Inn Express & Suites Charleston-North, an IHG Hotel"
642,Buhe,CN,75.2,light rain,30.2876,112.2298,Jingzhou Hongmen Hotel
652,Kailua,US,85.98,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
658,Alappuzha,IN,78.28,overcast clouds,9.49,76.3264,Panoramic Sea Resort
663,Bhitarwar,IN,84.9,overcast clouds,25.8,78.1167,H.G.Batham Home
664,Kalmunai,LK,81.25,overcast clouds,7.4167,81.8167,VS Villa
668,Garowe,SO,80.22,overcast clouds,8.4054,48.4845,Curubo Hotel
675,Palmer,US,75.85,overcast clouds,42.1584,-72.3287,Wedgewood Motel
678,Akdepe,TM,89.6,scattered clouds,42.0551,59.3788,Мой дом
680,Son Tay,VN,78.73,overcast clouds,21.1378,105.505,Khách Sạn Đông Thành
681,Padang,ID,76.66,overcast clouds,-0.9492,100.3543,Mercure Padang
682,Morehead,US,85.32,clear sky,37.2711,-87.1764,CCI Express Inn
683,Cururupu,BR,76.75,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
684,Ciudad Bolivar,VE,84.49,broken clouds,8.1222,-63.5497,Hotel Edi
686,Nador,MA,80.67,clear sky,35.174,-2.9287,Hôtel La Giralda
692,The Valley,AI,86.14,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
696,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
698,Shaoguan,CN,75.45,broken clouds,24.8,113.5833,Shangcheng Hotel
