City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Alofi,NU,-19.0595,-169.9187,73.29,94,40,4.61,scattered clouds
184,East London,ZA,-33.0153,27.9116,63.14,65,0,14.47,clear sky
185,Mehamn,NO,71.0357,27.8492,44.51,76,85,22.79,overcast clouds
186,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,80.87,80,0,2.26,clear sky
187,Moose Factory,CA,51.2585,-80.6094,51.8,87,90,3.44,overcast clouds
188,Roquetas De Mar,ES,36.7642,-2.6148,77.0,83,0,1.63,clear sky
189,Awbari,LY,26.5921,12.7805,89.28,19,4,13.13,clear sky
190,Xining,CN,36.6167,101.7667,56.03,81,34,2.15,scattered clouds
191,Lagoa,PT,39.05,-27.9833,69.44,85,85,23.31,overcast clouds
192,Mindelo,CV,16.8901,-24.9804,78.35,73,40,5.75,scattered clouds
193,Saint Anthony,US,45.0205,-93.218,89.92,41,0,1.99,clear sky
194,Graaff-Reinet,ZA,-32.2522,24.5308,53.8,18,14,11.03,few clouds
195,Esperance,AU,-33.8667,121.9,51.64,78,99,8.32,overcast clouds
196,Pontes E Lacerda,BR,-15.2261,-59.3353,76.44,22,0,6.62,clear sky
197,Trincomalee,LK,8.5711,81.2335,80.74,79,77,23.64,broken clouds
198,Yumen,CN,40.2833,97.2,75.34,30,75,12.71,broken clouds
199,Seymchan,RU,62.8833,152.4333,59.09,48,83,6.42,broken clouds
200,Am Timan,TD,11.0297,20.2827,74.77,83,76,5.23,light rain
201,Vaitape,PF,-16.5167,-151.75,79.05,76,100,23.04,overcast clouds
202,Panchagarh,BD,26.3313,88.562,77.23,96,100,5.97,light rain
203,Karpathos,GR,35.507,27.2132,76.59,82,0,1.88,clear sky
204,Yaan,NG,7.3833,8.5667,72.84,94,90,5.53,moderate rain
205,Abu Kamal,SY,34.4506,40.9171,96.76,12,0,10.94,clear sky
206,Guerrero Negro,MX,27.9769,-114.0611,82.22,53,23,16.78,few clouds
207,Moron,AR,-34.6534,-58.6198,55.29,57,0,1.01,clear sky
208,Nelson Bay,AU,-32.7167,152.15,50.09,76,0,1.99,clear sky
209,Basudebpur,IN,21.1353,86.7386,84.07,79,100,10.33,light rain
210,Itaituba,BR,-4.2761,-55.9836,93.36,59,20,5.75,few clouds
211,Ahuimanu,US,21.4447,-157.8378,85.71,68,24,21.43,few clouds
212,Grafton,US,42.207,-71.6856,74.19,82,90,0.0,overcast clouds
213,Yuancheng,CN,36.652,107.7896,65.25,90,39,8.57,scattered clouds
214,Khandbari,NP,27.3747,87.2039,72.73,95,100,1.01,overcast clouds
215,Bystrogorskiy,RU,48.2081,41.141,81.03,33,1,7.23,clear sky
216,Seydi,TM,39.4816,62.9137,85.41,24,16,12.41,few clouds
217,Geraldton,AU,-28.7667,114.6,55.81,94,90,16.11,light rain
218,Chadan,RU,51.2833,91.5833,52.21,88,97,1.61,overcast clouds
219,Buarcos,PT,40.166,-8.8768,65.66,91,67,11.5,broken clouds
220,Srandakan,ID,-7.9386,110.2506,75.4,91,46,5.5,scattered clouds
221,Manzhouli,CN,49.6,117.4333,63.01,90,60,1.86,broken clouds
222,Kuching,MY,1.55,110.3333,75.42,94,40,0.0,thunderstorm with light rain
223,Demba,CD,-5.51,22.2667,70.93,35,76,2.42,broken clouds
224,Nerchinskiy Zavod,RU,51.3088,119.61,59.72,98,74,0.6,broken clouds
225,Port Keats,AU,-14.25,129.55,65.52,34,8,8.39,clear sky
226,Kodino,RU,63.7198,39.6447,55.47,63,19,4.41,few clouds
227,Kaspiyskiy,RU,45.3929,47.3707,81.18,58,0,7.87,clear sky
228,Kaeo,NZ,-35.1,173.7833,48.33,97,40,3.18,scattered clouds
